"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2004","197.99","194.88","197.99","194.18","350.59M","1.60%"
"Mar 09, 2004","194.88","194.95","198.26","194.51","489.82M","-0.04%"
"Mar 08, 2004","194.95","191.66","195.90","191.66","347.11M","1.72%"
"Mar 05, 2004","191.66","190.15","192.20","189.38","233.53M","0.79%"
"Mar 04, 2004","190.15","191.72","193.27","188.89","199.20M","-0.82%"
"Mar 03, 2004","191.72","193.57","193.65","191.19","282.58M","-0.96%"
"Mar 02, 2004","193.57","187.86","193.57","186.76","280.83M","3.04%"
"Mar 01, 2004","187.86","188.89","190.09","187.11","177.63M","-0.55%"
"Feb 27, 2004","188.89","187.72","189.88","186.76","275.50M","0.62%"
"Feb 26, 2004","187.72","187.07","190.54","187.07","317.04M","0.35%"
"Feb 25, 2004","187.07","184.98","187.52","184.98","270.89M","1.13%"
"Feb 24, 2004","184.98","182.84","186.80","182.35","249.47M","1.17%"
"Feb 23, 2004","182.84","186.04","186.94","182.27","175.97M","-1.72%"
"Feb 20, 2004","186.04","186.06","187.10","181.03","243.58M","-0.01%"
"Feb 19, 2004","186.06","194.79","195.60","185.60","-","-4.48%"
"Feb 18, 2004","194.79","190.10","194.87","187.62","260.85M","2.47%"
"Feb 17, 2004","190.10","193.24","195.26","189.68","271.03M","-1.62%"
"Feb 16, 2004","193.24","190.00","199.30","190.00","354.26M","1.71%"
"Feb 13, 2004","190.00","188.86","192.46","187.21","234.89M","0.60%"
"Feb 12, 2004","188.86","180.00","189.99","180.00","404.43M","4.92%"
"Feb 11, 2004","180.00","174.19","180.08","174.19","217.43M","3.34%"
"Feb 10, 2004","174.19","176.41","178.79","173.70","289.13M","-1.26%"
"Feb 09, 2004","176.41","169.66","176.54","165.66","271.63M","3.98%"
"Feb 06, 2004","169.66","170.34","171.24","166.78","139.92M","-0.40%"
"Feb 05, 2004","170.34","172.59","175.16","169.62","117.45M","-1.30%"
"Jan 30, 2004","172.59","172.82","175.68","170.51","186.35M","-0.13%"
"Jan 29, 2004","172.82","179.02","179.33","169.83","184.32M","-3.46%"
"Jan 28, 2004","179.02","179.00","180.67","175.64","168.42M","0.01%"
"Jan 27, 2004","179.00","183.57","186.58","177.93","245.10M","-2.49%"
"Jan 26, 2004","183.57","185.18","185.93","181.39","182.12M","-0.87%"
"Jan 22, 2004","185.18","189.00","189.92","183.97","240.15M","-2.02%"
"Jan 21, 2004","189.00","188.33","189.80","185.21","284.67M","0.36%"
"Jan 20, 2004","188.33","177.89","188.33","177.89","291.80M","5.87%"
"Jan 19, 2004","177.89","183.01","183.45","177.13","195.14M","-2.80%"
"Jan 16, 2004","183.01","189.52","190.11","182.40","207.44M","-3.43%"
"Jan 15, 2004","189.52","188.19","190.76","184.49","302.54M","0.71%"
"Jan 14, 2004","188.19","194.60","196.92","187.37","385.27M","-3.29%"
"Jan 13, 2004","194.60","195.59","196.90","192.51","347.96M","-0.51%"
"Jan 12, 2004","195.59","199.26","201.90","194.67","376.89M","-1.84%"
"Jan 09, 2004","199.26","194.05","199.69","194.05","363.52M","2.68%"
"Jan 08, 2004","194.05","193.83","197.77","193.21","339.70M","0.11%"
"Jan 07, 2004","193.83","190.14","194.80","186.71","460.00M","1.94%"
"Jan 06, 2004","190.14","196.97","199.21","189.33","468.58M","-3.47%"
"Jan 05, 2004","196.97","191.48","197.25","191.48","405.86M","2.87%"
"Jan 02, 2004","191.48","186.25","191.69","186.25","307.83M","2.81%"
