"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 07","449.84","436.61","485.70","431.16","8.50B","3.03%"
"Mar 07","436.61","414.31","439.10","388.24","7.74B","5.38%"
"Feb 07","414.31","411.83","446.16","404.68","7.86B","0.60%"
"Jan 07","411.83","391.17","425.17","363.44","6.37B","5.28%"
"Dec 06","391.17","381.69","403.80","374.13","4.57B","2.48%"
"Nov 06","381.69","405.82","406.41","370.34","4.90B","-5.95%"
"Oct 06","405.82","369.25","408.91","362.24","4.92B","9.90%"
"Sep 06","369.25","372.86","386.46","359.32","4.80B","-0.97%"
"Aug 06","372.86","360.68","387.88","351.47","4.48B","3.38%"
"Jul 06","360.68","354.53","370.30","321.96","5.18B","1.73%"
"Jun 06","354.53","381.32","394.28","314.92","7.88B","-7.03%"
"May 06","381.32","438.80","450.85","352.78","6.89B","-13.10%"
"Apr 06","438.80","429.11","457.13","417.05","5.23B","2.26%"
"Mar 06","429.11","470.16","480.75","407.16","8.32B","-8.73%"
"Feb 06","470.16","445.90","481.92","429.45","5.47B","5.44%"
"Jan 06","445.90","397.78","464.76","393.99","4.94B","12.10%"
"Dec 05","397.78","380.89","400.12","372.73","5.51B","4.43%"
"Nov 05","380.89","319.64","381.90","319.64","5.09B","19.16%"
"Oct 05","319.64","333.33","358.10","306.33","4.98B","-4.11%"
"Sep 05","333.33","309.08","340.15","309.08","6.53B","7.85%"
"Aug 05","309.08","296.15","309.08","276.83","4.61B","4.37%"
"Jul 05","296.15","269.57","297.31","269.22","4.99B","9.86%"
"Jun 05","269.57","252.36","274.18","250.81","4.12B","6.82%"
"May 05","252.36","235.92","256.34","235.92","4.28B","6.97%"
"Apr 05","235.92","255.58","262.29","228.88","3.87B","-7.69%"
"Mar 05","255.58","283.96","284.00","238.75","4.91B","-9.99%"
"Feb 05","283.96","273.30","284.10","264.04","5.89B","3.90%"
"Jan 05","273.30","249.72","276.62","242.38","5.82B","9.44%"
"Dec 04","249.72","224.86","251.06","222.34","6.29B","11.06%"
"Nov 04","224.86","229.00","237.06","219.59","5.03B","-1.81%"
"Oct 04","229.00","219.54","232.41","214.32","6.00B","4.31%"
"Sep 04","219.54","202.18","226.40","200.42","8.38B","8.59%"
"Aug 04","202.18","193.81","202.43","186.00","4.88B","4.32%"
"Jul 04","193.81","179.68","194.12","179.25","4.98B","7.86%"
"Jun 04","179.68","170.81","180.49","166.30","3.48B","5.19%"
"May 04","170.81","180.23","183.74","158.04","4.64B","-5.23%"
"Apr 04","180.23","201.91","206.11","174.71","5.49B","-10.74%"
"Mar 04","201.91","188.89","213.15","186.76","8.08B","6.89%"
"Feb 04","188.89","172.59","199.30","165.66","4.09B","9.44%"
"Jan 04","172.59","186.25","201.90","169.83","5.94B","-7.33%"
"Dec 03","186.25","146.18","187.08","146.18","7.80B","27.41%"
"Nov 03","146.18","157.54","165.41","146.18","4.54B","-7.21%"
"Oct 03","157.54","130.56","164.43","130.08","9.23B","20.66%"
"Sep 03","130.56","116.12","141.48","114.70","5.84B","12.44%"
"Aug 03","116.12","105.72","120.75","105.19","3.86B","9.84%"
"Jul 03","105.72","108.84","109.93","101.82","2.76B","-2.87%"
"Jun 03","108.84","113.81","116.33","103.96","3.16B","-4.37%"
"May 03","113.81","115.10","116.21","101.68","4.63B","-1.12%"
"Apr 03","115.10","94.75","116.24","94.75","4.86B","21.48%"
"Mar 03","94.75","115.74","115.74","87.92","2.91B","-18.14%"
"Feb 03","115.74","110.32","120.26","103.58","3.13B","4.91%"
"Jan 03","110.32","103.70","110.32","96.65","3.44B","6.38%"
"Dec 02","103.70","133.00","134.08","100.02","3.46B","-22.03%"
"Nov 02","133.00","102.52","144.08","100.44","6.84B","29.73%"
"Oct 02","102.52","88.42","106.25","86.89","3.01B","15.95%"
"Sep 02","88.42","95.47","96.56","86.81","1.48B","-7.38%"
"Aug 02","95.47","102.36","109.88","91.27","2.21B","-6.73%"
"Jul 02","102.36","93.80","108.04","85.14","3.27B","9.13%"
